ID,Home Office Id,Store Name,City,State,Count,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26
28,1,Clackamas,Clackamas,OR,0,30,33,29,57,30,44,32,41,39,26,28,35,52,25,37,29,36,32,33,30,37,58,30,24,44,60,25,27,27,51,30,37,35,40,36,39,34,49,30,4,38,27,39,45,47,18,33,54,50,25,38,45,42,53,23,52,32
29,305,Cumming,Cumming,GA,1,45,38,34,29,18,64,30,43,22,48,34,27,29,5,62,39,40,23,61,29,42,50,51,27,42,39,48,35,34,37,28,64,45,58,10,49,52,59,4,0,61,35,21,96,53,34,27,38,61,38,41,39,2,51,30,46,31
30,63,Parker,Parker,CO,1,18,70,46,79,49,72,42,56,56,43,43,53,82,0,50,73,66,43,49,46,51,78,43,42,56,86,32,42,51,105,1,49,59,82,53,57,60,82,19,57,47,54,50,64,51,50,59,80,53,48,44,95,1,52,42,64,62
34,866H,Vancouver,Vancouver,WA,2,12,27,46,71,30,22,34,56,46,21,32,30,68,8,26,38,46,50,18,38,45,56,11,26,49,72,12,30,23,50,37,23,31,52,47,24,35,55,39,0,35,39,31,42,21,31,33,49,17,60,31,62,0,17,36,49,41
37,78,Powell,Powell,OH,0,14,37,21,27,25,35,24,25,20,15,21,17,17,10,26,16,18,21,22,23,19,34,15,24,25,34,18,23,24,16,20,21,25,26,27,16,32,23,29,12,23,37,24,26,19,41,10,31,12,44,36,15,16,15,31,16,24
53,792,Phoenix - Ahwatukee,Phoenix,AZ,3,21,25,30,59,12,39,31,34,41,30,32,35,53,0,44,31,36,41,32,23,29,55,24,20,22,63,24,20,21,33,49,24,32,66,18,21,34,40,35,0,31,22,25,46,29,31,21,50,27,18,28,59,0,43,23,22,60
54,17,West Seattle,Seattle,WA,1,22,36,32,46,26,33,32,36,43,32,27,29,42,6,43,30,44,30,39,22,24,42,24,21,34,51,18,21,35,39,35,26,31,57,34,32,38,59,20,0,44,30,48,32,32,13,42,39,57,42,35,54,11,35,23,38,68
61,91,Centennial,Centennial,CO,2,34,45,41,30,27,63,40,34,27,37,32,35,33,0,52,34,38,27,27,46,37,34,24,38,41,39,17,26,31,56,30,26,37,63,24,33,40,54,22,0,41,35,38,29,42,23,39,33,30,36,47,36,8,37,37,34,30
62,126,Tucson,Tucson,AZ,6,0,72,46,44,23,48,41,42,34,32,48,41,46,0,51,35,43,29,41,33,32,51,30,36,53,61,2,53,31,26,42,34,44,87,0,51,43,67,0,0,50,35,33,41,47,37,33,53,45,42,47,65,0,50,40,35,38
63,136,Arvada,Arvada,CO,1,37,40,29,53,20,42,47,33,42,30,37,48,47,4,35,45,51,27,28,35,33,48,25,29,42,49,24,40,34,43,28,40,48,50,29,30,45,44,25,0,40,36,37,27,33,45,38,24,31,35,39,24,7,40,37,31,21
67,178,Lake Forest,Lake Forest,CA,1,34,55,48,42,17,69,39,51,23,51,43,37,39,0,64,32,34,31,43,25,45,38,28,37,45,47,23,30,25,36,34,39,36,51,20,33,36,45,21,17,42,42,34,57,36,33,34,45,36,34,30,35,19,28,32,35,29
73,137,Sunrise,Sunrise,FL,1,21,45,45,35,14,46,38,33,23,36,34,37,30,0,46,32,29,20,32,35,35,34,29,31,27,49,16,28,35,43,25,30,34,49,24,23,29,41,12,7,31,30,38,21,22,25,44,35,21,21,42,22,24,21,30,40,35
76,536,Ferrini Square,San Luis Obispo,CA,2,28,15,39,37,13,42,31,39,18,25,19,34,28,10,40,15,44,14,31,13,38,29,19,18,32,39,18,27,24,38,15,26,24,46,18,25,14,48,23,0,36,22,30,22,24,17,35,33,31,19,33,45,0,23,26,35,20
80,249,Pasadena,Pasadena,CA,2,10,37,40,48,20,43,21,32,34,32,9,38,51,5,40,25,30,25,30,22,21,39,30,24,28,42,24,20,26,42,0,40,22,31,23,27,26,35,8,9,40,10,27,15,39,21,24,28,30,16,20,35,0,39,15,25,16
82,874H,North West Austin,Austin,TX,2,54,54,47,38,23,76,52,40,19,55,46,33,35,0,72,49,32,26,49,52,38,48,42,44,41,53,19,38,40,53,34,45,50,85,17,50,56,62,20,0,48,61,45,41,38,34,5,83,42,53,24,51,22,53,51,49,42
85,248,Granada Hills,Granada Hills,CA,3,10,18,43,39,0,29,39,26,14,20,23,31,25,0,30,31,28,11,23,29,32,22,20,26,30,31,0,25,30,29,16,21,38,47,1,12,36,41,3,9,30,24,29,20,19,33,24,36,19,31,24,34,7,20,34,30,18
86,280,West Chester,West Chester,OH,5,0,31,6,19,9,24,9,13,10,11,17,6,9,0,9,15,10,10,15,13,16,14,9,12,15,21,0,14,9,11,19,10,10,9,14,11,8,14,13,0,16,10,11,13,17,11,2,16,17,15,7,16,0,14,13,7,15
91,261,Blue Ash,Blue Ash,OH,5,0,29,17,29,9,24,11,10,28,11,21,7,28,0,18,20,20,18,13,23,16,19,11,19,16,20,0,23,14,16,17,14,16,21,9,14,14,32,12,0,20,12,15,21,22,14,13,21,24,16,9,18,0,21,19,12,21
95,298,Indianapolis - Castleton,Indianapolis,IN,0,26,52,39,52,33,36,54,50,24,27,47,48,48,16,24,63,52,38,22,47,55,43,6,40,57,62,24,30,46,28,32,26,55,51,29,21,50,63,17,20,30,49,38,39,43,37,21,64,50,27,44,43,21,36,43,40,72
96,292,Midlothian ,Midlothian,VA,1,18,49,54,98,16,42,64,62,60,36,51,40,68,14,51,49,56,41,32,47,46,83,22,50,49,106,18,60,49,54,54,38,41,79,67,41,37,83,51,0,61,52,62,34,49,30,55,63,54,56,70,50,33,38,40,62,53
98,161,Berlin,Berlin,CT,8,0,23,18,27,0,24,19,24,3,0,28,18,21,0,16,24,16,0,0,0,34,16,0,16,13,24,3,14,14,28,3,7,19,27,7,10,18,28,8,3,7,28,18,3,6,21,24,13,7,17,18,11,10,9,25,24,7
99,823,Orem,Orem,UT,1,29,46,49,44,39,46,31,49,27,23,25,44,39,0,39,38,20,35,45,49,45,70,2,32,33,56,15,33,25,44,20,33,34,61,13,28,26,45,13,11,39,44,34,27,25,25,43,27,26,23,32,40,20,24,37,49,27
101,309,Beaverton,Beaverton,OR,0,39,33,51,34,23,54,46,45,19,46,27,26,48,17,57,28,36,25,48,30,43,45,35,30,54,36,26,34,41,41,22,41,52,55,22,30,40,62,20,39,45,45,44,19,49,24,47,32,41,35,55,25,25,50,33,35,31
102,260,Framingham,Framingham,MA,2,30,34,53,50,41,48,61,21,39,44,42,42,46,0,45,44,41,41,0,48,55,52,24,35,40,57,28,33,31,39,40,43,42,57,24,37,50,50,7,29,28,52,47,38,24,48,47,41,26,56,48,40,30,35,66,36,34
103,215,Poway Rd,Poway,CA,0,56,71,77,88,26,124,59,66,47,86,67,68,66,18,98,67,60,32,73,73,56,67,73,52,49,90,58,51,38,73,38,79,53,76,44,57,62,70,29,8,77,47,53,56,75,51,46,73,67,45,50,65,31,85,39,44,60
105,310,Pinecrest,Pinecrest,FL,7,18,16,23,33,0,25,24,24,12,26,16,20,24,0,29,26,19,14,26,23,20,22,16,20,22,28,14,13,19,26,0,18,18,37,0,24,25,26,0,0,25,15,15,29,16,21,16,12,6,17,13,23,0,14,16,19,23
108,216,Sacramento,Sacramento,CA,5,18,33,30,39,0,27,37,27,21,26,26,24,24,0,28,32,22,25,31,26,20,33,18,28,27,31,0,22,31,26,26,18,22,32,17,19,27,31,16,0,22,26,17,22,19,18,25,23,13,12,26,31,0,19,22,21,22
119,314,Corvallis,Corvallis,OR,3,19,24,31,46,2,38,35,34,19,31,28,28,31,0,43,20,25,13,35,22,29,24,15,30,28,37,22,23,39,37,0,33,42,38,12,32,27,25,21,0,32,18,29,15,28,19,39,33,29,19,53,33,14,32,19,44,24
121,351,San Marcos ,San Marcos,CA,0,9,18,21,27,7,42,17,23,9,23,22,25,15,6,20,21,13,10,22,13,19,22,19,14,14,27,17,14,16,17,11,19,13,26,15,17,13,25,8,2,16,14,9,23,17,10,16,14,14,15,10,17,9,21,9,13,12
122,835,Roswell,Roswell,GA,10,0,17,15,14,3,19,9,20,0,12,13,23,1,0,17,16,13,0,14,12,18,0,11,15,10,13,0,19,15,9,0,12,9,14,7,0,23,8,4,5,0,23,6,7,3,23,25,0,13,11,22,8,2,17,9,19,1
125,347,Del Mar - Solana Beach,Solana Beach,CA,3,10,21,35,24,8,28,28,29,20,21,17,23,30,0,29,23,17,18,19,21,19,26,13,24,17,33,10,24,15,27,9,21,18,33,12,21,21,21,20,0,25,11,27,13,17,11,27,15,22,10,25,15,0,18,17,27,16
127,204,Belmont,Belmont,CA,0,22,43,36,45,25,39,32,44,34,31,30,31,34,20,48,26,33,40,32,30,46,41,17,27,44,54,18,26,36,26,39,26,31,49,40,33,31,44,36,13,32,34,45,44,39,22,27,50,27,23,24,44,29,40,28,32,33
133,417,Temecula ,Temecula,CA,2,28,58,53,44,7,48,54,30,19,44,34,33,28,6,51,36,18,51,31,39,26,22,32,34,35,23,27,26,28,23,26,31,37,51,13,30,42,48,0,0,32,43,25,40,29,35,27,24,30,32,22,32,25,35,29,25,24
136,819,North Colorado Springs,Colorado Springs,CO,2,51,41,42,26,24,65,40,19,25,57,42,34,42,0,60,47,29,33,55,33,44,39,52,33,42,62,46,35,18,45,39,50,8,77,31,58,40,46,45,0,56,35,32,39,47,28,33,48,52,66,40,32,12,50,39,26,39
138,293,Overland Park,Overland Park,KS,0,34,37,59,56,31,53,56,36,41,24,34,60,42,29,56,37,44,50,28,39,50,69,27,31,44,105,27,22,34,46,71,43,32,92,34,39,30,60,29,4,52,39,59,44,40,29,44,81,35,43,44,81,64,47,37,69,52
158,402,North Richland Hills ,North Richland Hills,TX,6,23,34,31,31,16,30,39,31,20,26,35,30,18,0,53,29,24,18,39,42,32,13,33,35,38,31,29,20,38,30,21,37,38,42,22,31,31,53,0,0,32,42,45,0,21,52,3,48,0,52,35,40,6,34,33,38,0
159,339,Rochester Hills,Rochester Hills,MI,1,12,30,74,80,20,29,79,41,32,39,48,39,61,0,48,30,44,39,31,27,43,65,31,23,43,75,15,26,35,52,50,21,35,70,36,15,34,61,24,21,30,31,34,41,31,24,47,56,21,31,55,52,12,27,19,58,49
165,408,West Chester,West Chester,PA,16,0,0,23,14,8,0,26,13,19,0,17,15,10,0,11,16,16,0,0,16,18,11,0,8,10,29,0,0,28,8,11,9,11,32,0,14,5,26,4,0,0,22,10,17,0,21,15,21,0,18,16,16,3,0,18,12,6
166,389,Plainville,Plainville,MA,3,41,55,43,33,43,53,43,37,55,36,53,46,51,0,39,51,36,46,34,34,47,56,26,40,53,66,35,0,62,42,53,41,42,64,30,33,40,60,26,5,44,46,43,34,41,41,37,43,31,37,38,47,0,41,38,38,26
171,870,La Mesa,La Mesa,CA,2,52,42,57,57,42,71,66,45,64,56,42,66,71,0,66,58,52,60,60,39,41,84,55,34,44,91,47,40,34,58,56,62,44,71,51,62,40,73,58,0,67,65,63,65,69,54,54,75,65,58,49,68,33,62,40,49,52
175,315,Kennewick,Kennewick,WA,0,15,40,51,27,21,38,32,41,20,4,46,28,34,9,36,22,28,14,21,32,29,20,19,12,27,45,10,25,26,39,16,26,22,54,10,24,27,47,21,2,35,44,26,22,34,28,31,20,27,31,24,27,12,40,29,28,16
180,822G,Fountain Valley,Fountain Valley,CA,1,25,25,40,37,15,47,36,33,16,28,41,21,31,0,50,30,19,18,39,31,22,25,24,33,17,37,18,26,25,33,12,26,18,24,25,25,19,32,15,13,27,22,19,29,22,20,9,41,16,27,10,29,9,23,14,24,27
181,447,Clemmons,Clemmons,NC,8,0,17,28,5,0,0,35,22,7,0,23,15,21,0,15,16,28,0,9,16,26,10,0,16,17,27,0,12,21,17,6,8,16,26,6,4,16,28,9,4,13,19,13,13,11,15,9,17,8,13,19,16,8,16,11,22,3
190,488,Tustin,Tustin,CA,1,46,67,36,53,27,63,45,38,50,42,41,42,49,9,69,41,36,36,50,50,51,42,40,43,39,51,37,28,34,39,43,44,43,67,16,47,48,58,17,7,55,39,38,34,40,42,30,49,56,35,42,51,0,60,32,35,39
193,516,North Phoenix,Phoenix,AZ,3,50,56,59,81,23,80,68,61,41,69,61,61,57,0,80,71,56,41,61,56,61,58,53,64,64,72,40,65,64,52,32,78,66,64,42,62,63,72,40,0,70,47,59,51,67,45,61,65,56,50,48,88,0,62,51,64,58
194,358,Salt Lake,Salt Lake City,UT,3,6,21,41,40,9,23,21,32,20,12,9,48,30,0,18,32,40,18,8,22,35,33,10,20,37,35,0,25,26,34,23,19,37,41,5,11,46,44,4,0,14,31,20,36,11,24,25,37,6,33,64,36,2,22,13,42,20
200,517,Manchester,Manchester,CT,1,6,18,31,55,41,20,24,32,65,17,20,33,68,0,23,15,35,51,9,25,28,69,9,16,22,90,6,17,15,42,58,17,23,54,35,12,17,56,11,37,15,20,39,65,13,13,37,69,14,19,20,77,1,19,20,41,43
204,497,Carlsbad-Encinitas,Encinitas,CA,0,56,54,81,87,50,88,62,68,80,66,43,53,80,25,84,53,67,63,61,41,53,95,49,38,47,119,22,50,40,71,77,53,48,104,80,54,41,73,35,82,57,50,43,79,55,42,54,94,51,52,54,71,51,55,47,70,54
208,499,Lancaster,Lancaster,PA,3,34,60,98,100,22,55,97,69,46,61,50,66,75,0,47,90,65,44,46,58,53,76,34,60,50,93,34,46,42,63,61,47,52,88,43,46,74,100,44,0,57,60,58,50,31,68,52,98,33,45,59,89,0,57,40,47,57
209,549,Fort Mill,Fort Mill,SC,12,0,19,18,21,0,19,16,15,0,0,23,13,17,0,18,17,29,0,16,0,23,14,0,23,21,22,0,19,21,28,0,19,23,33,3,13,16,20,12,1,13,24,13,11,19,6,10,20,17,13,21,11,0,0,30,14,5
215,492,Pearland,Pearland,TX,1,31,47,35,50,17,56,37,45,25,45,27,35,44,6,53,28,44,33,47,29,35,38,40,20,57,51,22,39,36,47,19,41,60,54,7,28,54,48,16,0,33,54,38,19,28,48,5,66,21,60,11,49,13,43,39,34,29
227,500,Modesto,Modesto,CA,1,30,21,31,23,12,41,33,29,8,42,25,20,16,5,51,21,11,9,34,23,19,15,31,18,17,22,20,24,14,16,19,36,14,31,6,33,20,26,12,0,36,18,14,16,34,18,13,23,34,18,14,20,4,19,34,12,11
229,550,Redlands,Redlands,CA,1,1,33,29,32,10,29,20,24,17,25,19,28,32,0,24,25,26,23,23,25,23,27,12,26,18,39,6,24,14,26,24,15,17,38,37,13,27,33,9,9,19,20,24,24,17,16,25,26,6,26,26,21,29,18,21,27,23
232,514,Cincinnati - Anderson,Cincinnati,OH,1,29,35,40,52,0,59,34,34,16,49,30,32,27,2,57,37,25,20,41,43,44,47,47,51,57,38,39,35,41,51,3,55,34,47,22,51,41,42,18,1,52,47,38,57,47,44,36,44,59,48,55,39,6,75,38,27,31
239,525,Flemington,Flemington,NJ,3,42,36,42,57,0,58,48,16,37,42,34,27,50,0,44,38,33,22,38,28,41,31,17,37,25,48,16,42,25,35,27,38,28,57,20,32,33,60,18,0,44,20,42,29,24,45,55,33,26,22,38,20,3,35,27,45,21
241,628,Torrance,Torrance,CA,0,30,33,33,43,14,37,39,31,22,42,29,30,28,4,43,28,31,26,39,27,32,35,23,41,32,42,21,24,26,27,23,28,33,37,32,31,36,37,12,7,34,42,36,35,34,31,29,35,33,26,23,35,16,40,31,34,26
244,AAA,Mill Creek,Mill Creek,WA,2,28,72,73,81,8,66,61,69,35,62,42,59,60,0,73,50,53,38,48,54,45,62,40,34,62,81,36,33,43,68,35,49,49,104,29,37,52,77,32,0,61,53,48,47,62,29,61,56,62,33,40,66,7,55,48,44,46
261,677,Missouri City,Missouri City,TX,0,27,25,45,59,23,48,43,40,37,33,39,26,47,8,46,26,45,31,33,27,55,39,27,33,47,52,24,46,40,45,30,47,41,66,15,43,51,58,17,6,54,41,50,35,54,32,25,79,60,29,25,59,9,69,41,48,55
262,722,Centerville,Centerville,OH,0,34,61,75,53,41,70,77,62,48,66,50,42,70,14,71,55,46,54,56,57,41,76,47,40,58,107,41,44,46,54,49,46,51,65,56,42,51,64,19,28,53,62,35,51,44,48,36,62,42,48,34,77,1,49,47,40,54
264,691,Bellaire Boulevard,Houston,TX,7,19,24,23,30,0,40,20,23,11,28,40,21,15,0,36,20,18,0,31,24,49,3,31,16,17,10,32,27,31,15,0,42,15,30,6,34,14,19,5,0,35,15,12,3,38,9,17,6,36,10,11,18,0,39,9,13,0
268,646,Frederick,Frederick,MD,1,57,51,80,60,8,101,54,34,41,75,53,46,58,15,110,65,39,34,70,62,49,48,43,55,56,68,48,60,67,62,20,55,63,90,27,54,69,61,24,0,72,71,47,33,67,55,45,48,60,62,65,47,10,62,73,53,31
274,529,Thousand Oaks,Thousand Oaks,CA,4,17,22,49,50,0,21,48,32,10,17,21,34,31,0,32,30,37,0,19,30,41,0,14,22,37,22,10,24,30,39,3,14,36,41,10,12,31,41,9,15,12,23,33,27,16,28,48,20,12,26,28,35,13,24,27,19,25
280,434_2,San Jose Camden Park,San Jose,CA,0,47,84,80,82,73,95,79,68,48,68,79,66,56,36,96,81,59,40,72,66,56,68,48,99,72,87,43,55,68,54,53,58,69,129,56,49,76,94,32,13,73,94,53,41,57,88,50,79,52,79,64,74,31,53,64,91,46
281,767,Lafayette,Lafayette,IN,1,14,16,20,14,7,12,18,12,13,14,18,14,15,0,12,20,11,13,12,19,17,16,10,14,15,14,6,7,16,14,3,15,14,15,6,13,8,16,8,5,14,11,17,8,11,12,16,12,16,19,16,6,7,9,23,8,8
286,632,Vacaville,Vacaville,CA,4,6,38,38,25,16,30,22,32,18,24,21,20,40,0,31,20,24,23,25,22,9,41,19,14,23,30,16,17,23,33,13,31,33,40,0,31,25,39,0,0,37,24,28,17,25,16,24,33,28,28,29,29,4,30,22,22,14
288,788,Cincinnati - West,Cincinnati,OH,5,0,29,18,34,4,16,15,20,20,9,21,12,18,0,11,16,17,18,8,20,20,24,11,11,18,31,0,11,9,20,28,13,5,20,21,13,15,16,14,0,18,8,19,19,15,13,10,25,13,13,17,24,0,12,9,13,23
291,837,Mobile,Mobile,AL,5,0,30,30,36,17,35,30,31,30,20,32,37,39,0,31,0,49,33,26,18,35,40,11,18,15,62,0,23,28,31,28,27,26,46,10,38,33,41,6,0,24,42,22,18,22,47,22,30,21,34,26,30,7,18,43,26,23
307,1002,Frisco,Frisco,TX,4,9,14,6,8,1,14,9,12,3,3,13,14,10,0,12,12,10,4,8,14,9,8,7,6,13,13,6,8,7,8,3,8,18,11,0,10,6,14,10,0,13,5,9,2,14,7,0,20,3,8,5,10,3,8,5,11,5
